timestamp,configuracao,cenario,round_id,concorrencia_alvo,wall_time_round_s,cpu_pct_ollama,mem_uso_ollama,threads_ollama,num_processos_container
2026-09-15T16:46:39,config1_padrao,padrao_curto,1,1,10.472,0.29%,3.006GiB / 5.788GiB,24,5
2026-09-15T16:46:50,config1_padrao,padrao_curto,2,1,9.213,0.57%,3.012GiB / 5.788GiB,24,5
2026-09-15T16:50:08,config1_padrao,padrao_longo,3,1,196.506,0.98%,3.008GiB / 5.788GiB,24,5
2026-09-15T16:53:11,config1_padrao,padrao_longo,4,1,180.992,0.50%,3.067GiB / 5.788GiB,24,5
2026-09-15T16:56:39,config2_concorrencia,concorrencia_1,5,1,206.648,0.12%,3.132GiB / 5.788GiB,24,5
2026-09-15T16:58:48,config2_concorrencia,concorrencia_1,6,1,127.107,0.45%,3.24GiB / 5.788GiB,24,5
2026-09-15T17:03:50,config2_concorrencia,concorrencia_4,7,4,300.031,55.15%,3.383GiB / 5.788GiB,24,5
2026-09-15T17:08:52,config2_concorrencia,concorrencia_4,8,4,300.017,74.76%,3.519GiB / 5.788GiB,24,5
2026-09-15T17:12:03,config3_contexto,num_ctx_2048,9,1,188.405,0.40%,2.747GiB / 5.788GiB,24,5
2026-09-15T17:15:21,config3_contexto,num_ctx_2048,10,1,196.002,0.00%,2.823GiB / 5.788GiB,24,5
2026-09-15T17:19:32,config3_contexto,num_ctx_8192,11,1,249.409,0.76%,3.58GiB / 5.788GiB,24,5
2026-09-15T17:23:11,config3_contexto,num_ctx_8192,12,1,216.322,0.46%,3.676GiB / 5.788GiB,24,5
