% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 72.81    0.723596         307      2355        42 futex
 12.93    0.128456          86      1481           nanosleep
  8.94    0.088810          73      1207           epoll_pwait
  2.98    0.029570          34       863       380 read
  0.58    0.005739          46       123           write
  0.29    0.002869          43        66           madvise
  0.27    0.002656           9       293           sched_yield
  0.12    0.001220          67        18         6 epoll_ctl
  0.12    0.001197          39        30           setsockopt
  0.12    0.001195          99        12           close
  0.12    0.001144          20        55           pread64
  0.10    0.001043         208         5         5 connect
  0.10    0.001021          18        55           sched_getaffinity
  0.10    0.000994          41        24           fcntl
  0.06    0.000646         215         3           getpid
  0.06    0.000622          77         8           newfstatat
  0.06    0.000548          91         6           openat
  0.04    0.000438          54         8           getdents64
  0.03    0.000342          68         5           getpeername
  0.03    0.000331          66         5           socket
  0.03    0.000323         323         1           restart_syscall
  0.03    0.000307          61         5           getsockopt
  0.02    0.000238          39         6           getsockname
  0.02    0.000178          89         2         1 accept4
  0.02    0.000175          58         3           tgkill
  0.01    0.000108          36         3           rt_sigreturn
  0.01    0.000085          42         2           fstat
------ ----------- ----------- --------- --------- ------------------
100.00    0.993851         149      6644       434 total
